Expression	Period
1.7391728066723	PN0#Myonuclei
2.44945308246322	PN0#Myonuclei
1.40534255609059	PN0#Myonuclei
2.0242329918707	PN0#Myonuclei
2.0491530953547	PN0#Myonuclei
2.64175437844846	PN0#Myonuclei
2.14161179298545	PN0#Myonuclei
2.63092419790698	PN0#Myonuclei
2.41164434364662	PN0#Myonuclei
2.42986315757899	PN0#Myonuclei
1.8883604758502	PN0#Myonuclei
1.89505454071788	PN0#Myonuclei
2.17582494467123	PN0#Myonuclei
1.9956901747898	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.73801327664054	PN0#Myonuclei
0	PN0#Myonuclei
1.55098020908326	PN0#Myonuclei
2.97312237002494	PN0#Myonuclei
1.99733992184537	PN0#Myonuclei
1.90838276372781	PN0#Myonuclei
0	PN0#Myonuclei
2.26701169951506	PN0#Myonuclei
0	PN0#Myonuclei
3.29800606425187	PN0#Myonuclei
1.32082159431769	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
3.18476260212856	PN0#Myonuclei
0	PN0#Myonuclei
2.78771760383608	PN0#Myonuclei
2.76002242957293	PN0#Myonuclei
1.80267569149187	PN0#Myonuclei
3.31446309140847	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.87515212172843	PN0#Myonuclei
0	PN0#Myonuclei
2.0334115090634	PN0#Myonuclei
2.58815254400642	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.8718867971682	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.9634270728463	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.30755012237667	PN0#Myonuclei
0	PN0#Myonuclei
3.00446678723785	PN0#Myonuclei
2.24257055439926	PN0#Myonuclei
1.65000072317983	PN0#Myonuclei
2.41395803210652	PN0#Myonuclei
0	PN0#Myonuclei
2.54397753801608	PN0#Myonuclei
3.31063936875266	PN0#Myonuclei
0	PN0#Myonuclei
2.30510898111946	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
3.19536986156097	PN0#Myonuclei
1.9634270728463	PN0#Myonuclei
1.93501827827463	PN0#Myonuclei
0	PN0#Myonuclei
2.86437209278322	PN0#Myonuclei
3.22910831514331	PN0#Myonuclei
1.39887504997533	PN0#Myonuclei
1.84224255763287	PN0#Myonuclei
2.56642755433085	PN0#Myonuclei
1.84313693515726	PN0#Myonuclei
0	PN0#Myonuclei
1.99789063329586	PN0#Myonuclei
2.87799118332661	PN0#Myonuclei
2.75541334761285	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.28227877722513	PN0#Myonuclei
2.36259469819885	PN0#Myonuclei
0	PN0#Myonuclei
2.50489479408477	PN0#Myonuclei
2.33405124906741	PN0#Myonuclei
0	PN0#Myonuclei
1.77609937832505	PN0#Myonuclei
1.82925014102491	PN0#Myonuclei
3.23718084229977	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.98154045364792	PN0#Myonuclei
0	PN0#Myonuclei
1.90326544635738	PN0#Myonuclei
0	PN0#Myonuclei
3.11170155280651	PN0#Myonuclei
2.93239366414585	PN0#Myonuclei
1.75600655495005	PN0#Myonuclei
2.02480344377876	PN0#Myonuclei
2.2029337810686	PN0#Myonuclei
0	PN0#Myonuclei
2.03053141664232	PN0#Myonuclei
3.75443577046942	PN0#Myonuclei
0	PN0#Myonuclei
2.40153959170054	PN0#Myonuclei
